"","AG1","AG2","AG3"
"NL/330/85",-4.750403104973,2.90326439289265,3.39202256897863
"ST/10/85",-4.14613279892759,2.4153858218452,2.7593914735074
"CO/2/86",-3.9366686761612,2.54001285845114,3.00933038301735
"NL/450/88",-2.57280839510013,2.57752215632531,-0.840818099510894
"NL/620/89",-2.26646190487076,2.90611496397271,-1.38382265006162
"VI/2/90",-0.988473053034793,-0.0568709231199658,-1.5402921148618
"LY/1149/91",0.533556075222092,-1.25395747030429,-0.274595248351607
"MA/G102/93",4.99918968794065,2.79093629076468,0.789228639596924
"MA/G252/93",4.85904524854603,-1.78334201974682,2.55779196214991
"NL/241/93",5.2325475903007,1.63929580474303,2.02902708734074
"NL/1/95",5.58790702067548,1.72749131566754,2.99261310500827
"WE/4/85",-3.45784524437383,2.5877603773492,2.68522625075186
"OK/5/88",0.286389318041342,2.16964804755603,1.40926689685243
"SI/2/87",-2.80559391563438,5.08325806357182,1.06627328264043
"VI/7/87",-2.22209192645331,0.718046724705158,-0.908665508324342
"AL/4382/82",-3.88729104394331,0.38172711416125,3.76141483835516
"LY/2380/81",-3.72815139029668,0.580960123925856,3.4808274519832
"BI/4791/81",-3.97981189421602,0.61328666856427,2.92341829226377
"BI/10684/82",-4.2635479650532,0.312653440723162,3.24627868867039
"OS/13676/83",-3.50849658509606,0.500262428736864,3.62563370468169
"NL/333/85",-5.13229619445993,2.54886513873284,2.17179722409882
"BA/1/79",-3.75782719697793,1.26858288764633,5.63918626497013
"PH/2/82",-4.67937616211836,3.30920777320306,5.53549302434149
"CE/1/84",-5.34947222049064,2.7081857354698,2.78752114475847
"LE/360/86",-2.65835435995323,4.00492022314744,4.36444644839605
"VI/1/88",-0.565977423220355,2.5762365146256,2.09871240305477
"CC/2/88",-2.70899560592227,3.01546749225247,3.27944640454457
"ST/12/88",-2.62884262127163,2.94313718094422,-0.375797724632729
"EN/138/89",-2.43558618185901,3.04319686722255,-0.3932317272399
"EI/3447/89",-2.66854077239903,3.0948321560973,-0.549226247652576
"EN/427/88",-3.19054632327436,3.57583759118584,-0.214831032170395
"GE/5007/89",-3.01120002788931,2.95268920501873,-0.407039585207216
"WE/3/90",-0.518493704549838,-0.54374226859193,0.262867100354646
"WK/1/89",-3.25982212256883,2.65921867533175,-0.999064950008185
"AT/3572DASH5/88",-2.62864104503997,2.95777616290838,0.448482415905989
"SH/11/87",-3.43406773865188,4.58746124418364,-2.02377165751737
"GU/54/89",-0.355975206238452,5.05102379958362,1.47890707429075
"HK/1/89",-2.83879969511646,2.7573884551066,-0.413844476822019
"NL/650/89",-3.78861836283193,4.0937373811071,-1.45892423466055
"NL/738/89",-4.20969096989761,5.33779536915255,-0.602311619826008
"SP/35/89",-3.21487583479034,2.2149805419765,-1.00526454651969
"SP/40/89",-2.08969756183845,1.68911866615619,-1.41233045931326
"WE/5/89",-0.976567078395423,4.28267460975288,0.0318756982331628
"ME/2/90",-2.72314749062862,3.41837004826491,-0.589675427126337
"SU/1/90",-2.89816033631165,2.87216010839692,-0.289018398057757
"VI/33/92",-1.09173688349866,0.0292709984256021,-0.754050935327726
"NL/891/91",-0.990332297133217,-0.551386417114623,-0.792469575763567
"CA/1/91",-2.59988087055652,2.56057617689318,0.200460566884324
"EN/260/91",-1.4954424916539,-0.639043356852425,-1.01765565091859
"EN/261/91",0.71245360176311,-0.630513310380945,0.939927198263396
"MA/G12/91",-1.43875141348847,-0.546437630863655,-1.38856295609493
"NL/816/91",-1.58169400519661,-0.774669966798452,-1.35680526534682
"AM/4112/92",-0.896142658954868,-0.309810856346681,-0.37903827666598
"ES/1285/92",-1.4561236174115,-1.0619813729821,-1.30579352691948
"FI/220/92",1.05581376169507,1.52503319892874,-4.03361763705418
"MA/G58/92",-0.270829186501801,-0.707864971742853,0.19644448292976
"NI/3129/92",-1.09509633853141,-0.724793733997185,-0.831523051968406
"NL/819/92",-0.254361839270154,-0.872952426341947,-0.360677978226998
"NL/935/92",-0.850655242983853,-0.0536488852267792,-0.954204651400902
"PA/583/92",-1.84351498052376,-1.2075088398004,-1.93874224965282
"PA/614/92",-1.47310682530693,-1.18457729787241,-0.789857621881214
"SA/8/92",-1.35372229950939,-2.27430989626301,-1.19615805330622
"SA/23/92",-1.38661089196614,0.261906657024136,-3.82141930556716
"SA/27/92",-0.430734274245564,-2.31266081135146,-0.129035174970674
"ST/7/92",-2.83880984836575,-0.564160576509269,-2.24723023406852
"VI/68/92",-0.917146464767862,0.345928318946216,-1.73835805980081
"GE/5366/91",-3.48367909024412,2.59527514542877,-0.471140313043206
"BE/353/89",-1.07797697946274,0.576010138646925,-3.34159217781381
"LY/1182/91",0.411210133698882,-1.06321765220307,-0.884658092128736
"BE/352/89",0.444657041223294,0.255907083480387,-0.241792445480295
"PA/467/92",-1.81344314355649,-0.488811557209797,-0.92095762229978
"TI/5957/92",-0.859853608055003,-0.564430608433337,-0.794071514952051
"AT/211/89",-1.3594219549461,1.67587307121222,0.29525356167012
"SP/34/89",-0.939581401157695,3.68627871350939,1.90943229062257
"SP/36/89",-0.505488429185178,3.67682033887196,1.92461033689757
"SP/53/89",-2.90173145870876,2.94743972461105,-0.665098596566298
"VI/1/89",-3.98013613674434,6.42409110115102,1.05784629548077
"ME/5/90",-2.69346898865712,1.75579321328683,0.317470777713439
"SH/24/90",1.70489342850782,4.7425613276284,-1.24443154257418
"BE/32/92",3.84537909625464,4.45136180621329,-1.11653173222733
"FI/247/92",6.21568094266901,3.49943690958958,0.294669942271393
"NL/938/92",2.29911508184833,3.91894152061964,-0.122937133211763
"SE/C273/92",7.15630152666309,3.92425056244973,-1.05388069160651
"ST/12/92",4.41779445972261,3.13218160660893,0.932780048450768
"ST/13/92",-0.678925932872883,1.43088803796064,-2.65748468465172
"UM/1982/92",0.228777088614798,-0.526596867481958,0.342536674254441
"UM/2000/92",-0.324902618965343,-0.63485321200444,-0.813897963374372
"AK/4/93",7.06313732517835,3.8816265819291,0.118179973814131
